run_number,condition_id,replicate,pH,Temp_C,RPM,Inoculum_pct,Sugar_gL,BC_yield_gL
173,58,2,4.0,25.0,125.0,7.5,40.0,5.123
174,58,3,4.0,25.0,125.0,7.5,40.0,4.907
175,59,1,4.0,25.0,125.0,7.5,50.0,5.067
176,59,2,4.0,25.0,125.0,7.5,50.0,5.473
177,59,3,4.0,25.0,125.0,7.5,50.0,5.867
178,60,1,4.0,25.0,125.0,7.5,60.0,5.295
179,60,2,4.0,25.0,125.0,7.5,60.0,5.217
180,60,3,4.0,25.0,125.0,7.5,60.0,5.33
181,61,1,4.0,25.0,125.0,10.0,20.0,4.616
182,61,2,4.0,25.0,125.0,10.0,20.0,4.311
183,61,3,4.0,25.0,125.0,10.0,20.0,4.135
184,62,1,4.0,25.0,125.0,10.0,30.0,5.435
185,62,2,4.0,25.0,125.0,10.0,30.0,5.245
186,62,3,4.0,25.0,125.0,10.0,30.0,5.555
187,63,1,4.0,25.0,125.0,10.0,40.0,5.701
188,63,2,4.0,25.0,125.0,10.0,40.0,5.307
189,63,3,4.0,25.0,125.0,10.0,40.0,5.267
190,64,1,4.0,25.0,125.0,10.0,50.0,6.287
191,64,2,4.0,25.0,125.0,10.0,50.0,6.308
192,64,3,4.0,25.0,125.0,10.0,50.0,5.775
193,65,1,4.0,25.0,125.0,10.0,60.0,5.543
194,65,2,4.0,25.0,125.0,10.0,60.0,6.059
195,65,3,4.0,25.0,125.0,10.0,60.0,5.34
196,66,1,4.0,25.0,125.0,12.5,20.0,4.099
197,66,2,4.0,25.0,125.0,12.5,20.0,4.53
198,66,3,4.0,25.0,125.0,12.5,20.0,4.24
199,67,1,4.0,25.0,125.0,12.5,30.0,5.224
200,67,2,4.0,25.0,125.0,12.5,30.0,5.179
201,67,3,4.0,25.0,125.0,12.5,30.0,5.32
202,68,1,4.0,25.0,125.0,12.5,40.0,6.144
203,68,2,4.0,25.0,125.0,12.5,40.0,5.775
204,68,3,4.0,25.0,125.0,12.5,40.0,5.93
205,69,1,4.0,25.0,125.0,12.5,50.0,5.351
206,69,2,4.0,25.0,125.0,12.5,50.0,5.911
207,69,3,4.0,25.0,125.0,12.5,50.0,5.689
208,70,1,4.0,25.0,125.0,12.5,60.0,5.409
209,70,2,4.0,25.0,125.0,12.5,60.0,5.504
210,70,3,4.0,25.0,125.0,12.5,60.0,5.656
211,71,1,4.0,25.0,125.0,15.0,20.0,4.406
212,71,2,4.0,25.0,125.0,15.0,20.0,3.779
213,71,3,4.0,25.0,125.0,15.0,20.0,4.159
214,72,1,4.0,25.0,125.0,15.0,30.0,4.889
215,72,2,4.0,25.0,125.0,15.0,30.0,4.933
216,72,3,4.0,25.0,125.0,15.0,30.0,5.306
217,73,1,4.0,25.0,125.0,15.0,40.0,5.701
218,73,2,4.0,25.0,125.0,15.0,40.0,5.924
219,73,3,4.0,25.0,125.0,15.0,40.0,5.507
220,74,1,4.0,25.0,125.0,15.0,50.0,5.53
221,74,2,4.0,25.0,125.0,15.0,50.0,5.662
222,74,3,4.0,25.0,125.0,15.0,50.0,5.793
223,75,1,4.0,25.0,125.0,15.0,60.0,5.599
224,75,2,4.0,25.0,125.0,15.0,60.0,5.246
225,75,3,4.0,25.0,125.0,15.0,60.0,5.575
226,76,1,4.0,25.0,162.5,5.0,20.0,2.789
227,76,2,4.0,25.0,162.5,5.0,20.0,3.43
228,76,3,4.0,25.0,162.5,5.0,20.0,3.251
229,77,1,4.0,25.0,162.5,5.0,30.0,3.436
230,77,2,4.0,25.0,162.5,5.0,30.0,3.595
231,77,3,4.0,25.0,162.5,5.0,30.0,3.265
232,78,1,4.0,25.0,162.5,5.0,40.0,4.11
233,78,2,4.0,25.0,162.5,5.0,40.0,4.363
234,78,3,4.0,25.0,162.5,5.0,40.0,4.613
235,79,1,4.0,25.0,162.5,5.0,50.0,4.321
236,79,2,4.0,25.0,162.5,5.0,50.0,4.342
237,79,3,4.0,25.0,162.5,5.0,50.0,3.924
238,80,1,4.0,25.0,162.5,5.0,60.0,4.379
239,80,2,4.0,25.0,162.5,5.0,60.0,4.128
240,80,3,4.0,25.0,162.5,5.0,60.0,4.277
241,81,1,4.0,25.0,162.5,7.5,20.0,3.179
242,81,2,4.0,25.0,162.5,7.5,20.0,3.399
243,81,3,4.0,25.0,162.5,7.5,20.0,2.933
244,82,1,4.0,25.0,162.5,7.5,30.0,3.964
245,82,2,4.0,25.0,162.5,7.5,30.0,4.971
246,82,3,4.0,25.0,162.5,7.5,30.0,4.015
247,83,1,4.0,25.0,162.5,7.5,40.0,4.668
248,83,2,4.0,25.0,162.5,7.5,40.0,5.489
249,83,3,4.0,25.0,162.5,7.5,40.0,5.788
250,84,1,4.0,25.0,162.5,7.5,50.0,4.897
251,84,2,4.0,25.0,162.5,7.5,50.0,5.122
252,84,3,4.0,25.0,162.5,7.5,50.0,5.321
253,85,1,4.0,25.0,162.5,7.5,60.0,5.609
254,85,2,4.0,25.0,162.5,7.5,60.0,4.849
255,85,3,4.0,25.0,162.5,7.5,60.0,5.056
256,86,1,4.0,25.0,162.5,10.0,20.0,4.043
257,86,2,4.0,25.0,162.5,10.0,20.0,3.947
258,86,3,4.0,25.0,162.5,10.0,20.0,3.72
259,87,1,4.0,25.0,162.5,10.0,30.0,4.738
260,87,2,4.0,25.0,162.5,10.0,30.0,4.39
261,87,3,4.0,25.0,162.5,10.0,30.0,4.708
262,88,1,4.0,25.0,162.5,10.0,40.0,5.3
263,88,2,4.0,25.0,162.5,10.0,40.0,5.44
264,88,3,4.0,25.0,162.5,10.0,40.0,5.22
265,89,1,4.0,25.0,162.5,10.0,50.0,5.757
266,89,2,4.0,25.0,162.5,10.0,50.0,5.909
267,89,3,4.0,25.0,162.5,10.0,50.0,5.669
268,90,1,4.0,25.0,162.5,10.0,60.0,5.623
269,90,2,4.0,25.0,162.5,10.0,60.0,5.54
270,90,3,4.0,25.0,162.5,10.0,60.0,5.525
271,91,1,4.0,25.0,162.5,12.5,20.0,3.723
272,91,2,4.0,25.0,162.5,12.5,20.0,4.014
273,91,3,4.0,25.0,162.5,12.5,20.0,3.898
274,92,1,4.0,25.0,162.5,12.5,30.0,5.461
275,92,2,4.0,25.0,162.5,12.5,30.0,5.316
276,92,3,4.0,25.0,162.5,12.5,30.0,4.983
277,93,1,4.0,25.0,162.5,12.5,40.0,5.261
278,93,2,4.0,25.0,162.5,12.5,40.0,5.164
279,93,3,4.0,25.0,162.5,12.5,40.0,5.809
280,94,1,4.0,25.0,162.5,12.5,50.0,5.799
281,94,2,4.0,25.0,162.5,12.5,50.0,5.859
282,94,3,4.0,25.0,162.5,12.5,50.0,5.237
283,95,1,4.0,25.0,162.5,12.5,60.0,5.885
284,95,2,4.0,25.0,162.5,12.5,60.0,5.752
285,95,3,4.0,25.0,162.5,12.5,60.0,5.314
286,96,1,4.0,25.0,162.5,15.0,20.0,3.593
287,96,2,4.0,25.0,162.5,15.0,20.0,3.799
288,96,3,4.0,25.0,162.5,15.0,20.0,3.74
289,97,1,4.0,25.0,162.5,15.0,30.0,4.593
290,97,2,4.0,25.0,162.5,15.0,30.0,4.646
291,97,3,4.0,25.0,162.5,15.0,30.0,4.604
292,98,1,4.0,25.0,162.5,15.0,40.0,5.318
293,98,2,4.0,25.0,162.5,15.0,40.0,5.687
294,98,3,4.0,25.0,162.5,15.0,40.0,4.556
295,99,1,4.0,25.0,162.5,15.0,50.0,5.459
296,99,2,4.0,25.0,162.5,15.0,50.0,5.574
297,99,3,4.0,25.0,162.5,15.0,50.0,5.608
298,100,1,4.0,25.0,162.5,15.0,60.0,5.321
299,100,2,4.0,25.0,162.5,15.0,60.0,4.933
300,100,3,4.0,25.0,162.5,15.0,60.0,5.517
301,101,1,4.0,25.0,200.0,5.0,20.0,2.534
302,101,2,4.0,25.0,200.0,5.0,20.0,1.621
303,101,3,4.0,25.0,200.0,5.0,20.0,2.292
304,102,1,4.0,25.0,200.0,5.0,30.0,2.983
305,102,2,4.0,25.0,200.0,5.0,30.0,3.058
306,102,3,4.0,25.0,200.0,5.0,30.0,2.78
307,103,1,4.0,25.0,200.0,5.0,40.0,3.656
308,103,2,4.0,25.0,200.0,5.0,40.0,4.114
309,103,3,4.0,25.0,200.0,5.0,40.0,3.913
310,104,1,4.0,25.0,200.0,5.0,50.0,4.56
311,104,2,4.0,25.0,200.0,5.0,50.0,4.405
312,104,3,4.0,25.0,200.0,5.0,50.0,4.198
313,105,1,4.0,25.0,200.0,5.0,60.0,4.538
314,105,2,4.0,25.0,200.0,5.0,60.0,4.173
315,105,3,4.0,25.0,200.0,5.0,60.0,4.282
316,106,1,4.0,25.0,200.0,7.5,20.0,2.667
317,106,2,4.0,25.0,200.0,7.5,20.0,2.769
318,106,3,4.0,25.0,200.0,7.5,20.0,2.555
319,107,1,4.0,25.0,200.0,7.5,30.0,4.052
320,107,2,4.0,25.0,200.0,7.5,30.0,3.445
321,107,3,4.0,25.0,200.0,7.5,30.0,3.994
322,108,1,4.0,25.0,200.0,7.5,40.0,4.397
323,108,2,4.0,25.0,200.0,7.5,40.0,4.778
324,108,3,4.0,25.0,200.0,7.5,40.0,4.66
325,109,1,4.0,25.0,200.0,7.5,50.0,5.285
326,109,2,4.0,25.0,200.0,7.5,50.0,4.98
327,109,3,4.0,25.0,200.0,7.5,50.0,4.335
328,110,1,4.0,25.0,200.0,7.5,60.0,4.731
329,110,2,4.0,25.0,200.0,7.5,60.0,4.422
330,110,3,4.0,25.0,200.0,7.5,60.0,4.605
331,111,1,4.0,25.0,200.0,10.0,20.0,3.573
332,111,2,4.0,25.0,200.0,10.0,20.0,3.329
333,111,3,4.0,25.0,200.0,10.0,20.0,2.954
334,112,1,4.0,25.0,200.0,10.0,30.0,3.891
335,112,2,4.0,25.0,200.0,10.0,30.0,4.184
336,112,3,4.0,25.0,200.0,10.0,30.0,3.834
337,113,1,4.0,25.0,200.0,10.0,40.0,4.662
338,113,2,4.0,25.0,200.0,10.0,40.0,4.937
339,113,3,4.0,25.0,200.0,10.0,40.0,5.173
340,114,1,4.0,25.0,200.0,10.0,50.0,5.345
341,114,2,4.0,25.0,200.0,10.0,50.0,4.533
342,114,3,4.0,25.0,200.0,10.0,50.0,5.26
343,115,1,4.0,25.0,200.0,10.0,60.0,5.17
344,115,2,4.0,25.0,200.0,10.0,60.0,5.266
345,115,3,4.0,25.0,200.0,10.0,60.0,5.603
346,116,1,4.0,25.0,200.0,12.5,20.0,2.672
347,116,2,4.0,25.0,200.0,12.5,20.0,3.084
348,116,3,4.0,25.0,200.0,12.5,20.0,3.415
349,117,1,4.0,25.0,200.0,12.5,30.0,3.832
350,117,2,4.0,25.0,200.0,12.5,30.0,4.688
351,117,3,4.0,25.0,200.0,12.5,30.0,4.378
352,118,1,4.0,25.0,200.0,12.5,40.0,5.187
353,118,2,4.0,25.0,200.0,12.5,40.0,4.79
354,118,3,4.0,25.0,200.0,12.5,40.0,5.178
355,119,1,4.0,25.0,200.0,12.5,50.0,5.574
356,119,2,4.0,25.0,200.0,12.5,50.0,5.34
357,119,3,4.0,25.0,200.0,12.5,50.0,5.341
358,120,1,4.0,25.0,200.0,12.5,60.0,5.326
359,120,2,4.0,25.0,200.0,12.5,60.0,5.008
360,120,3,4.0,25.0,200.0,12.5,60.0,5.209
361,121,1,4.0,25.0,200.0,15.0,20.0,3.007
362,121,2,4.0,25.0,200.0,15.0,20.0,3.157
363,121,3,4.0,25.0,200.0,15.0,20.0,3.33
364,122,1,4.0,25.0,200.0,15.0,30.0,3.779
365,122,2,4.0,25.0,200.0,15.0,30.0,4.04
366,122,3,4.0,25.0,200.0,15.0,30.0,4.49
367,123,1,4.0,25.0,200.0,15.0,40.0,4.542
368,123,2,4.0,25.0,200.0,15.0,40.0,4.52
369,123,3,4.0,25.0,200.0,15.0,40.0,4.807
370,124,1,4.0,25.0,200.0,15.0,50.0,5.311
371,124,2,4.0,25.0,200.0,15.0,50.0,5.078
372,124,3,4.0,25.0,200.0,15.0,50.0,5.447
373,125,1,4.0,25.0,200.0,15.0,60.0,5.29
374,125,2,4.0,25.0,200.0,15.0,60.0,5.286
375,125,3,4.0,25.0,200.0,15.0,60.0,5.205
376,126,1,4.0,27.5,50.0,5.0,20.0,4.427
377,126,2,4.0,27.5,50.0,5.0,20.0,3.718
378,126,3,4.0,27.5,50.0,5.0,20.0,3.214
379,127,1,4.0,27.5,50.0,5.0,30.0,4.949
380,127,2,4.0,27.5,50.0,5.0,30.0,4.372
381,127,3,4.0,27.5,50.0,5.0,30.0,4.53
382,128,1,4.0,27.5,50.0,5.0,40.0,5.242
383,128,2,4.0,27.5,50.0,5.0,40.0,4.426
384,128,3,4.0,27.5,50.0,5.0,40.0,4.525
385,129,1,4.0,27.5,50.0,5.0,50.0,4.452
386,129,2,4.0,27.5,50.0,5.0,50.0,4.678
387,129,3,4.0,27.5,50.0,5.0,50.0,5.023
388,130,1,4.0,27.5,50.0,5.0,60.0,4.722
389,130,2,4.0,27.5,50.0,5.0,60.0,4.652
390,130,3,4.0,27.5,50.0,5.0,60.0,4.179
391,131,1,4.0,27.5,50.0,7.5,20.0,3.828
392,131,2,4.0,27.5,50.0,7.5,20.0,4.49
393,131,3,4.0,27.5,50.0,7.5,20.0,4.343
394,132,1,4.0,27.5,50.0,7.5,30.0,5.329
395,132,2,4.0,27.5,50.0,7.5,30.0,5.397
396,132,3,4.0,27.5,50.0,7.5,30.0,5.239
397,133,1,4.0,27.5,50.0,7.5,40.0,5.788
398,133,2,4.0,27.5,50.0,7.5,40.0,5.639
399,133,3,4.0,27.5,50.0,7.5,40.0,5.723
400,134,1,4.0,27.5,50.0,7.5,50.0,5.403
401,134,2,4.0,27.5,50.0,7.5,50.0,5.55
402,134,3,4.0,27.5,50.0,7.5,50.0,5.655
403,135,1,4.0,27.5,50.0,7.5,60.0,5.505
404,135,2,4.0,27.5,50.0,7.5,60.0,5.165
405,135,3,4.0,27.5,50.0,7.5,60.0,5.421
406,136,1,4.0,27.5,50.0,10.0,20.0,4.801
407,136,2,4.0,27.5,50.0,10.0,20.0,4.842
408,136,3,4.0,27.5,50.0,10.0,20.0,5.107
409,137,1,4.0,27.5,50.0,10.0,30.0,5.042
410,137,2,4.0,27.5,50.0,10.0,30.0,5.237
411,137,3,4.0,27.5,50.0,10.0,30.0,5.185
412,138,1,4.0,27.5,50.0,10.0,40.0,5.322
413,138,2,4.0,27.5,50.0,10.0,40.0,5.785
414,138,3,4.0,27.5,50.0,10.0,40.0,6.185
415,139,1,4.0,27.5,50.0,10.0,50.0,5.92
416,139,2,4.0,27.5,50.0,10.0,50.0,6.055
417,139,3,4.0,27.5,50.0,10.0,50.0,6.305
418,140,1,4.0,27.5,50.0,10.0,60.0,6.047
419,140,2,4.0,27.5,50.0,10.0,60.0,5.656
420,140,3,4.0,27.5,50.0,10.0,60.0,6.054
421,141,1,4.0,27.5,50.0,12.5,20.0,5.001
422,141,2,4.0,27.5,50.0,12.5,20.0,4.741
423,141,3,4.0,27.5,50.0,12.5,20.0,4.809
424,142,1,4.0,27.5,50.0,12.5,30.0,5.285
425,142,2,4.0,27.5,50.0,12.5,30.0,5.451
426,142,3,4.0,27.5,50.0,12.5,30.0,5.6
427,143,1,4.0,27.5,50.0,12.5,40.0,6.3
428,143,2,4.0,27.5,50.0,12.5,40.0,6.557
429,143,3,4.0,27.5,50.0,12.5,40.0,5.688
430,144,1,4.0,27.5,50.0,12.5,50.0,6.21
431,144,2,4.0,27.5,50.0,12.5,50.0,5.809
432,144,3,4.0,27.5,50.0,12.5,50.0,6.233
433,145,1,4.0,27.5,50.0,12.5,60.0,5.738
434,145,2,4.0,27.5,50.0,12.5,60.0,5.262
435,145,3,4.0,27.5,50.0,12.5,60.0,6.035
436,146,1,4.0,27.5,50.0,15.0,20.0,4.606
437,146,2,4.0,27.5,50.0,15.0,20.0,4.626
438,146,3,4.0,27.5,50.0,15.0,20.0,4.475
439,147,1,4.0,27.5,50.0,15.0,30.0,5.317
440,147,2,4.0,27.5,50.0,15.0,30.0,5.62
441,147,3,4.0,27.5,50.0,15.0,30.0,5.447
442,148,1,4.0,27.5,50.0,15.0,40.0,5.967
443,148,2,4.0,27.5,50.0,15.0,40.0,5.976
444,148,3,4.0,27.5,50.0,15.0,40.0,6.245
445,149,1,4.0,27.5,50.0,15.0,50.0,5.804
446,149,2,4.0,27.5,50.0,15.0,50.0,5.486
447,149,3,4.0,27.5,50.0,15.0,50.0,6.199
448,150,1,4.0,27.5,50.0,15.0,60.0,5.482
449,150,2,4.0,27.5,50.0,15.0,60.0,5.887
450,150,3,4.0,27.5,50.0,15.0,60.0,5.682
451,151,1,4.0,27.5,87.5,5.0,20.0,3.813
452,151,2,4.0,27.5,87.5,5.0,20.0,3.948
453,151,3,4.0,27.5,87.5,5.0,20.0,4.396
454,152,1,4.0,27.5,87.5,5.0,30.0,5.232
455,152,2,4.0,27.5,87.5,5.0,30.0,4.669
456,152,3,4.0,27.5,87.5,5.0,30.0,4.695
457,153,1,4.0,27.5,87.5,5.0,40.0,5.401
458,153,2,4.0,27.5,87.5,5.0,40.0,4.863
459,153,3,4.0,27.5,87.5,5.0,40.0,5.193
460,154,1,4.0,27.5,87.5,5.0,50.0,5.193
461,154,2,4.0,27.5,87.5,5.0,50.0,5.288
462,154,3,4.0,27.5,87.5,5.0,50.0,4.967
463,155,1,4.0,27.5,87.5,5.0,60.0,4.505
